"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","0","Checkout flow functionality","0","0","Appropriate error messages are shown when checkout information is incomplete","0"
"1","","0","Cart page functionality","0","0","The user can proceed to the checkout information page from the cart","0"
"1","","0","Checkout flow functionality","0","0","The Cancel button on the checkout information page returns the user to the cart","0"
"4","","0","Inventory page functionality","0","0","Products are sorted correctly for the selected sort option","0"
"1","","0","Login functionality","0","0","A standard user logs in successfully","0"
"1","","0","Inventory page functionality","0","0","The user can remove all added products from the cart","0"
"1","","0","Cart page functionality","0","0","The user can return to the inventory page from the sidebar menu","0"
"1","","0","Checkout flow functionality","0","0","The user completes the order successfully with valid checkout information","0"
"1","","0","Inventory page functionality","0","0","Intentionally failing scenario for soft assertion validation","0"
"4","","0","Login functionality","0","0","Appropriate error messages are shown for invalid login attempts","0"
"1","","0","Cart page functionality","0","0","The user can remove a product directly from the cart","0"
"1","","0","Inventory page functionality","0","0","The user can add multiple products to the cart","0"
"1","","0","Cart page functionality","0","0","The empty cart state is displayed correctly","0"
"1","","0","Cart page functionality","0","0","The user can continue shopping from the cart page","0"
"1","","0","Cart page functionality","0","0","Added products are displayed correctly in the cart","0"
"1","","0","Inventory page functionality","0","0","The user logs out successfully","0"
"1","","0","Checkout flow functionality","0","0","The checkout overview displays the correct products and totals","0"
